agent,env_seed,horizon,grid_size,redistribution_mean,redistribution_std,redistribution_sum
A,1000,512,64,0.009153172558082833,0.0020646652131177416,4.68642434973841
B,1000,512,64,0.00821615073270868,0.0019878929748982236,4.206669175146844
R,1000,512,64,0.0077126810566632885,0.002419953973798732,3.9488927010116037
P,1000,512,64,0.0024556929408689164,0.0021081610128090194,1.2573147857248852
A,1001,512,64,0.009253983622783304,0.00351659220142519,4.738039614865052
B,1001,512,64,0.009700348589450087,0.003263149600725254,4.9665784777984445
R,1001,512,64,0.008689633399735691,0.00333498752766797,4.449092300664674
P,1001,512,64,0.001825026305842233,0.0009703565283545998,0.9344134685912233
A,1002,512,64,0.007690373490333214,0.0020699002530899934,3.9374712270506054
B,1002,512,64,0.007101324808947071,0.002137426090816359,3.6358783021809002
R,1002,512,64,0.006506543976330037,0.0024037523090135633,3.331350515880979
P,1002,512,64,0.0014752810807828064,0.0013043147901974415,0.7553439133607969
A,1003,512,64,0.007490616045566546,0.0017137037233625903,3.8351954153300714
B,1003,512,64,0.00657134843749095,0.0022193004861833987,3.3645303999953664
R,1003,512,64,0.006152930049128753,0.0022355036801692974,3.1503001851539216
P,1003,512,64,0.001063209957724255,0.0010728981776743998,0.5443634983548186
A,1004,512,64,0.005611508218582825,0.0027748037735018404,2.8730922079144063
B,1004,512,64,0.007842016185259416,0.0036252735655602593,4.015112286852821
R,1004,512,64,0.0073810882469372225,0.003552154652003217,3.779117182431858
P,1004,512,64,0.003627282541332582,0.0014088399988216828,1.857168661162282
A,1005,512,64,0.007061691482625649,0.0023893825087203347,3.615586039104332
B,1005,512,64,0.007470993396413268,0.0021963724955833207,3.8251486189635933
R,1005,512,64,0.00723266222598749,0.002252450622493749,3.703123059705595
P,1005,512,64,0.0013454623392993425,0.0007264081578251006,0.6888767177212634
A,1006,512,64,0.00811974701452501,0.0021998373510572623,4.157310471436805
B,1006,512,64,0.007286426728923777,0.002242975355764024,3.7306504852089737
R,1006,512,64,0.006927592496233287,0.002369311180843944,3.546927358071443
P,1006,512,64,0.0013854432699954176,0.000794951304743319,0.7093469542376538
A,1007,512,64,0.007202721268774052,0.003431620998030896,3.6877932896123147
B,1007,512,64,0.008099883089579504,0.0034528346491187,4.147140141864706
R,1007,512,64,0.007817548801739913,0.0036118087935924467,4.002584986490835
P,1007,512,64,0.002817599764674026,0.0016961465463150886,1.4426110795131013
A,1008,512,64,0.008044676753570141,0.001828368707556829,4.118874497827912
B,1008,512,64,0.007888026392815405,0.0022515795960774154,4.038669513121487
R,1008,512,64,0.007541320422564005,0.0024476764529850156,3.8611560563527707
P,1008,512,64,0.0025546164438140077,0.001520081846630681,1.307963619232772
A,1009,512,64,0.008223139470550736,0.0034671143129661286,4.210247408921977
B,1009,512,64,0.008881537513366025,0.0031934303081014126,4.547347206843405
R,1009,512,64,0.008148891029883582,0.003274863609128195,4.172232207300394
P,1009,512,64,0.0022029578063096117,0.0011931622671417508,1.1279143968305212
A,1010,512,64,0.010089832548968319,0.0017068343632491185,5.165994265071779
B,1010,512,64,0.008437668733235535,0.0025682939371706502,4.320086391416594
R,1010,512,64,0.007846356513128441,0.0030194044473306507,4.017334534721762
P,1010,512,64,0.0013577556223631291,0.0009899837560034754,0.6951708786499221
A,1011,512,64,0.010833189954932244,0.004358893388133625,5.546593256925309
B,1011,512,64,0.010621883604761483,0.003993000285897994,5.438404405637879
R,1011,512,64,0.009565418699997691,0.0038441968579301204,4.897494374398818
P,1011,512,64,0.0019719783220627884,0.0008078697861763312,1.0096529008961477
A,1012,512,64,0.006715938298234421,0.002640797889570775,3.4385604086960235
B,1012,512,64,0.00784007453587916,0.00238323871219056,4.01411816237013
R,1012,512,64,0.007265869858309225,0.0023080032250646374,3.7201253674543233
P,1012,512,64,0.002275891423896893,0.0014145287561223617,1.165256409035209
A,1013,512,64,0.008832422882245023,0.003506206663635526,4.522200515709452
B,1013,512,64,0.008440497562199358,0.003445168110746261,4.321534751846071
R,1013,512,64,0.00795911150620571,0.003422071846274728,4.075065091177324
P,1013,512,64,0.0021881931281830572,0.001066931571406552,1.1203548816297253
A,1014,512,64,0.008078194463794743,0.0016755408227130868,4.136035565462908
B,1014,512,64,0.008157722955336157,0.002145293984334735,4.176754153132112
R,1014,512,64,0.00793695305304747,0.002286461062970917,4.063719963160304
P,1014,512,64,0.0016038033288000735,0.0014216013555396916,0.8211473043456377
A,1015,512,64,0.006881327899120476,0.0016159082811120712,3.5232398843496835
B,1015,512,64,0.007515088883464388,0.002215892802464029,3.8477255083337667
R,1015,512,64,0.007043194934427991,0.0023705312495659494,3.6061158064271313
P,1015,512,64,0.000508548868042907,0.00024385013380540324,0.2603770204379684
A,1016,512,64,0.007741964359929524,0.001826607427463229,3.9638857522839164
B,1016,512,64,0.006832585739387225,0.001808167185650621,3.498283898566259
R,1016,512,64,0.006711272412959976,0.0019527940965288115,3.4361714754355077
P,1016,512,64,0.0014847899884478635,0.0009430098923761471,0.7602124740853061
A,1017,512,64,0.007843808915072947,0.0020370996403901056,4.016030164517349
B,1017,512,64,0.007799328307543517,0.002014196504400198,3.9932560934622807
R,1017,512,64,0.007488600607111988,0.002085800437300174,3.834163510841338
P,1017,512,64,0.001547348925613284,0.0016900284118915164,0.7922426499140014
A,1018,512,64,0.006674152893105501,0.002398276331264579,3.4171662812700165
B,1018,512,64,0.006897779300488266,0.0019729479384064733,3.531663001849992
R,1018,512,64,0.0066555497971077255,0.002006305418850571,3.4076414961191555
P,1018,512,64,0.0009234619544251297,0.0007124617015987898,0.4728125206656664
A,1019,512,64,0.006865866011269999,0.002592062178778389,3.5153233977702394
B,1019,512,64,0.006580821180695619,0.002943719200795179,3.369380444516157
R,1019,512,64,0.006344200000743139,0.002891973782087673,3.2482304003804874
P,1019,512,64,0.0023606471656601193,0.0014637655698228863,1.208651348817981
A,1020,512,64,0.007315748176250738,0.0017107477374275744,3.745663066240378
B,1020,512,64,0.007650192246296452,0.0021468822735572863,3.9168984301037835
R,1020,512,64,0.007321897730928898,0.002268000747996756,3.748811638235596
P,1020,512,64,0.0006815300666352499,0.0005478757982033436,0.34894339411724795
A,1021,512,64,0.011077239431541494,0.0023766597862474636,5.671546588949245
B,1021,512,64,0.009843129313647052,0.003079663329868392,5.0396822085872905
R,1021,512,64,0.009229716417666047,0.0033205871552120215,4.725614805845016
P,1021,512,64,0.0015606171729004889,0.0010288000880192558,0.7990359925250503
A,1022,512,64,0.007727193139997909,0.0026574700704612027,3.9563228876789296
B,1022,512,64,0.007511704745254055,0.0024665090478570924,3.845992829570076
R,1022,512,64,0.0070476207338317325,0.0023542398550888215,3.608381815721847
P,1022,512,64,0.001131218157086793,0.0008039484222073522,0.579183696428438
A,1023,512,64,0.007790166703510508,0.0018674734655586163,3.98856535219738
