seed,delta_real_vs_markov,delta_markov_self,paired_diff
1200,2.0800589323,0.5354952812,+1.5445636511
1201,2.2945467234,2.3621637821,-0.0676170588
1202,2.4627798796,0.7957890034,+1.6669908762
1203,1.9471999407,0.6392352581,+1.3079646826
1204,1.7759064436,1.1762914062,+0.5996150374
1205,1.9357327223,1.1390185952,+0.7967141271
1206,2.6906701326,0.8317099810,+1.8589601517
1207,2.2391399145,0.8088424206,+1.4302974939
1208,1.6725567579,0.7743847966,+0.8981719613
1209,2.4014662504,0.6091934144,+1.7922728360
1210,2.4734911919,0.6617962718,+1.8116949201
1211,1.9233925343,0.9456301928,+0.9777623415
1212,2.5189592242,0.6300402284,+1.8889189959
1213,2.5344969034,1.4184763432,+1.1160205603
1214,1.7538028955,0.7143981457,+1.0394047499
1215,1.9086856842,0.8194738626,+1.0892118216
1216,2.3264064789,0.8320071697,+1.4943993092
1217,2.2134029865,0.6184964180,+1.5949065685
1218,3.2133936882,1.3588297367,+1.8545639515
1219,2.4284796715,1.3048741817,+1.1236054897
1220,1.7574197054,0.9701439142,+0.7872757912
1221,2.7232117653,0.6361637115,+2.0870480537
1222,1.7924144268,0.7060761452,+1.0863382816
1223,2.0426731110,0.7472079992,+1.2954651117
1224,2.3235634565,1.6468598843,+0.6767035723
1225,2.1368751526,0.9419717789,+1.1949033737
1226,3.0459316969,0.6621708870,+2.3837608099
1227,2.2366669178,1.4581847191,+0.7784821987
1228,2.5775929689,0.9248327613,+1.6527602077
1229,2.4965953827,0.6573300362,+1.8392653465
