seed,delta_RS,delta_RM,delta_SM,diff_RS_minus_RM
1300,2.8845477104,2.0766421556,1.4042887688,+0.8079055548
1301,2.2973259687,2.2701888084,0.7441849709,+0.0271371603
1302,2.1739886999,2.2366565466,1.1518576145,-0.0626678467
1303,1.9759024382,2.4153215885,1.0209000111,-0.4394191504
1304,1.9392331839,1.8960331678,0.7234040499,+0.0432000160
1305,1.9934623241,2.6632530689,1.5074074268,-0.6697907448
1306,1.5391005278,2.0857309103,1.3141071200,-0.5466303825
1307,2.1626727581,2.8052179813,1.6018283367,-0.6425452232
1308,1.5403604507,1.8134427071,0.6468662024,-0.2730822563
1309,1.9831393957,2.0037789345,0.7413772345,-0.0206395388
1310,2.0233694315,2.1200743914,0.9063510895,-0.0967049599
1311,2.2798221111,2.5678068399,1.5165603161,-0.2879847288
1312,1.4793704748,2.1522660255,1.2485985756,-0.6728955507
1313,1.5993310213,1.8207635880,1.0180822015,-0.2214325666
1314,2.0816718340,2.8820263147,1.5511548519,-0.8003544807
1315,1.8415749073,2.1366764307,0.7864432335,-0.2951015234
1316,2.8235943317,2.3654575348,1.6680345535,+0.4581367970
1317,2.0869150162,2.5164318085,1.1532052755,-0.4295167923
1318,1.7220232487,2.0817234516,1.1456618309,-0.3597002029
1319,2.2986822128,2.3213858604,0.7819678783,-0.0227036476
1320,2.0467315912,2.4014414549,1.4155103564,-0.3547098637
1321,1.8096126318,2.0706744194,0.7778329849,-0.2610617876
1322,2.4403891563,3.1783708334,2.4030209780,-0.7379816771
1323,2.9908008575,2.8222340345,1.3507230282,+0.1685668230
1324,3.1024203300,3.2581877708,1.1232776642,-0.1557674408
1325,1.8414399624,2.0669089556,0.7183346748,-0.2254689932
1326,1.8933770657,2.3258954287,1.1521008015,-0.4325183630
1327,2.1481647491,2.5303423405,1.1682831645,-0.3821775913
1328,3.1508607864,2.2883983850,1.0976016521,+0.8624624014
1329,2.2579013109,2.2668945789,1.0013300180,-0.0089932680
