diffusion_coeff,seed,T_warmup,T_stat,B,P_min,P_max,KL_R_M_corr,KL_S_M_corr,KL_Mk_M_corr,KL_R_M_naive,KL_S_M_naive,KL_Mk_M_naive,delta_sigma_R_corr,delta_sigma_Mk_corr,delta_sigma_R_naive,delta_sigma_Mk_naive,Delta_kappa_corr,Delta_kappa_naive,K_R_nonempty,K_S_nonempty,K_M_nonempty,K_Mk_nonempty,laplace_bins_R,laplace_bins_S,laplace_bins_Mk,clip_events_R,clip_events_S,clip_events_M,clip_events_Mk
0.005000000000,4000,5000,50000,64,0.000000000000,1.000000000000,0.046443389815,0.062677873768,0.455622080953,0.046441671065,0.062677873768,0.455622080959,-0.016234483953,0.392944207186,-0.016236202703,0.392944207192,0.409178691139,0.409180409895,50,61,61,63,0,0,2,0,0,0,0
0.005000000000,4001,5000,50000,64,0.000000000000,1.000000000000,0.098412488488,0.181813890345,0.564026005907,0.098409988488,0.181813890359,0.564026005928,-0.083401401857,0.382212115562,-0.083403901872,0.382212115568,0.465613517419,0.465616017440,40,61,56,63,0,5,7,0,0,0,0
0.005000000000,4002,5000,50000,64,0.000000000000,1.000000000000,0.066480004081,0.575810451982,0.741929254001,0.066477504081,0.575810452007,0.741929254025,-0.509330447901,0.166118802019,-0.509332947925,0.166118802019,0.675449249920,0.675451749944,39,63,55,63,0,8,8,0,0,0,0
0.005000000000,4003,5000,50000,64,0.000000000000,1.000000000000,0.106272045508,0.107368644427,0.282318582670,0.106269389258,0.107368644442,0.282318582688,-0.001096598919,0.174949938243,-0.001099255184,0.174949938246,0.176046537162,0.176049193430,40,62,57,63,0,5,6,0,0,0,0
0.005000000000,4004,5000,50000,64,0.000000000000,1.000000000000,0.114606841184,0.233956037725,0.382173549136,0.114604184934,0.233956037742,0.382173549160,-0.119349196540,0.148217511411,-0.119351852808,0.148217511418,0.267566707952,0.267569364226,38,61,55,63,0,6,8,0,0,0,0
0.005000000000,4005,5000,50000,64,0.000000000000,1.000000000000,0.042636040220,0.074416732836,0.335827491381,0.042634165220,0.074416732842,0.335827491387,-0.031780692616,0.261410758545,-0.031782567622,0.261410758545,0.293191451161,0.293193326167,47,61,59,61,0,2,2,0,0,0,0
0.005000000000,4006,5000,50000,64,0.000000000000,1.000000000000,0.210814925947,0.144853617680,0.520115745512,0.210812269697,0.144853617692,0.520115745529,0.065961308266,0.375262127831,0.065958652005,0.375262127838,0.309300819565,0.309303475833,39,60,56,62,0,4,6,0,0,0,0
0.005000000000,4007,5000,50000,64,0.000000000000,1.000000000000,0.060112414955,0.199402966083,0.554989681262,0.060110383705,0.199402966101,0.554989681280,-0.139290551128,0.355586715179,-0.139292582396,0.355586715179,0.494877266307,0.494879297575,44,63,57,63,0,6,6,0,0,0,0
0.005000000000,4008,5000,50000,64,0.000000000000,1.000000000000,0.122200843060,0.117066172311,0.619961010941,0.122198343060,0.117066172314,0.619961010949,0.005134670749,0.502894838629,0.005132170746,0.502894838635,0.497760167881,0.497762667889,42,59,58,61,0,1,3,0,0,0,0
0.005000000000,4009,5000,50000,64,0.000000000000,1.000000000000,0.084234173689,0.821090766224,0.886945271512,0.084231986189,0.821090766260,0.886945271552,-0.736856592535,0.065854505288,-0.736858780071,0.065854505292,0.802711097823,0.802713285362,36,62,50,63,0,12,13,0,0,0,0
