seed,T_warmup,T_stat,B,P_min,P_max,KL_R_M_corr,KL_S_M_corr,KL_Mk_M_corr,KL_R_M_naive,KL_S_M_naive,KL_Mk_M_naive,delta_sigma_R_corr,delta_sigma_Mk_corr,delta_sigma_R_naive,delta_sigma_Mk_naive,Delta_kappa_corr,Delta_kappa_naive,K_R_nonempty,K_S_nonempty,K_M_nonempty,K_Mk_nonempty,laplace_bins_R,laplace_bins_S,laplace_bins_Mk,clip_events_R,clip_events_S,clip_events_M,clip_events_Mk
2000,5000,50000,64,0.000000000000,1.000000000000,0.228081075301,0.169073192959,0.466933633272,0.228077637801,0.169073192961,0.466933633283,0.059007882343,0.297860440313,0.059004444840,0.297860440322,0.238852557970,0.238855995482,32,55,54,58,0,1,4,0,0,0,0
2001,5000,50000,64,0.000000000000,1.000000000000,0.216016085706,1.133939053632,1.302674341480,0.216013741956,1.133939053666,1.302674341517,-0.917922967926,0.168735287848,-0.917925311710,0.168735287851,1.086658255773,1.086660599561,32,59,47,60,0,12,13,0,0,0,0
2002,5000,50000,64,0.000000000000,1.000000000000,0.070228707665,0.202155680288,0.599218241995,0.070226832665,0.202155680293,0.599218242005,-0.131926972624,0.397062561707,-0.131928847629,0.397062561712,0.528989534330,0.528991409341,39,53,51,55,0,2,4,0,0,0,0
2003,5000,50000,64,0.000000000000,1.000000000000,0.058119136337,0.073239904941,0.525858668415,0.058117573837,0.073239904946,0.525858668422,-0.015120768604,0.452618763474,-0.015122331109,0.452618763476,0.467739532078,0.467741094586,40,52,50,53,0,2,3,0,0,0,0
2004,5000,50000,64,0.000000000000,1.000000000000,0.127430028685,0.312905787110,0.713859383805,0.127427528685,0.312905787118,0.713859383821,-0.185475758425,0.400953596695,-0.185478258433,0.400953596703,0.586429355120,0.586431855137,35,54,51,57,0,3,6,0,0,0,0
2005,5000,50000,64,0.000000000000,1.000000000000,0.149930426839,0.248099169025,0.748519558050,0.149927614339,0.248099169035,0.748519558066,-0.098168742186,0.500420389026,-0.098171554696,0.500420389031,0.598589131212,0.598591943728,32,54,50,56,0,4,6,0,0,0,0
2006,5000,50000,64,0.000000000000,1.000000000000,0.126887056352,0.240453601194,0.846374943680,0.126884712602,0.240453601199,0.846374943691,-0.113566544842,0.605921342486,-0.113568888597,0.605921342491,0.719487887328,0.719490231088,35,52,50,54,0,2,4,0,0,0,0
2007,5000,50000,64,0.000000000000,1.000000000000,0.169481395603,0.793733629268,0.781435919625,0.169479208103,0.793733629295,0.781435919659,-0.624252233665,-0.012297709643,-0.624254421193,-0.012297709636,0.611954524022,0.611956711556,33,57,47,59,0,10,12,0,0,0,0
2008,5000,50000,64,0.000000000000,1.000000000000,0.074707844594,0.128665653164,0.628762644894,0.074705813344,0.128665653164,0.628762644902,-0.053957808570,0.500096991730,-0.053959839820,0.500096991738,0.554054800300,0.554056831558,38,51,51,54,0,0,3,0,0,0,0
2009,5000,50000,64,0.000000000000,1.000000000000,0.150914161912,0.154091780243,0.739887862920,0.150911974412,0.154091780246,0.739887862931,-0.003177618331,0.585796082677,-0.003179805834,0.585796082685,0.588973701008,0.588975888519,38,53,52,56,0,1,4,0,0,0,0
2010,5000,50000,64,0.000000000000,1.000000000000,0.175994461094,0.314906980402,0.813421237919,0.175991804844,0.314906980410,0.813421237927,-0.138912519309,0.498514257517,-0.138915175567,0.498514257517,0.637426776826,0.637429433084,35,55,52,55,0,3,3,0,0,0,0
2011,5000,50000,64,0.000000000000,1.000000000000,0.103012028540,0.212066877595,0.780530876696,0.103009841040,0.212066877606,0.780530876712,-0.109054849055,0.568463999100,-0.109057036566,0.568463999106,0.677518848155,0.677521035671,36,54,50,56,0,4,6,0,0,0,0
2012,5000,50000,64,0.000000000000,1.000000000000,0.144196584919,0.447173570535,0.743165567976,0.144193928669,0.447173570551,0.743165567996,-0.302976985616,0.295991997442,-0.302979641882,0.295991997445,0.598968983057,0.598971639327,35,58,52,59,0,6,7,0,0,0,0
2013,5000,50000,64,0.000000000000,1.000000000000,0.158249981999,0.181289247310,0.489406279477,0.158247013249,0.181289247313,0.489406279482,-0.023039265311,0.308117032167,-0.023042234064,0.308117032170,0.331156297478,0.331159266234,35,55,54,56,0,1,2,0,0,0,0
2014,5000,50000,64,0.000000000000,1.000000000000,0.135300478172,0.132064927412,0.553013532330,0.135298603172,0.132064927427,0.553013532348,0.003235550760,0.420948604918,0.003233675744,0.420948604921,0.417713054158,0.417714929177,36,54,48,55,0,6,7,0,0,0,0
2015,5000,50000,64,0.000000000000,1.000000000000,0.146785184923,0.374988719682,0.750459460844,0.146782841173,0.374988719690,0.750459460858,-0.228203534760,0.375470741162,-0.228205878518,0.375470741168,0.603674275922,0.603676619686,39,57,54,59,0,3,5,0,0,0,0
2016,5000,50000,64,0.000000000000,1.000000000000,0.215957934340,0.182524292663,0.644567371208,0.215955278090,0.182524292671,0.644567371226,0.033433641677,0.462043078545,0.033430985419,0.462043078554,0.428609436868,0.428612093135,37,57,54,60,0,3,6,0,0,0,0
2017,5000,50000,64,0.000000000000,1.000000000000,0.113968682630,0.589500642574,0.794650084660,0.113965870130,0.589500642588,0.794650084680,-0.475531959945,0.205149442086,-0.475534772458,0.205149442092,0.680681402031,0.680684214550,33,56,51,58,0,5,7,0,0,0,0
