seed,T_warmup,T_stat,B,P_min,P_max,KL_R_M_corr,KL_S_M_corr,KL_R_M_naive,KL_S_M_naive,delta_sigma_corr,delta_sigma_naive,K_R_nonempty,K_S_nonempty,K_M_nonempty,laplace_bins_R,laplace_bins_S,clip_events_R,clip_events_S,clip_events_M
1400,5000,50000,64,0.0,1.0,0.113219361180,0.505589855923,0.113216861180,0.505589855923,-0.392370494743,-0.392372994743,39,61,55,0,6,0,0,0
1401,5000,50000,64,0.0,1.0,0.062380533428,0.263323159873,0.062378345928,0.263323159873,-0.200942626446,-0.200944813946,41,59,55,0,4,0,0,0
1402,5000,50000,64,0.0,1.0,0.158929682470,0.190478632689,0.158927807470,0.190478632689,-0.031548950219,-0.031550825219,45,60,57,0,3,0,0,0
1403,5000,50000,64,0.0,1.0,0.120073297236,0.332057632232,0.120070953486,0.332057632232,-0.211984334996,-0.211986678746,41,61,56,0,5,0,0,0
1404,5000,50000,64,0.0,1.0,0.130969067361,0.372099585812,0.130967504861,0.372099585812,-0.241130518451,-0.241132080951,46,60,56,0,4,0,0,0
1405,5000,50000,64,0.0,1.0,0.143526800120,0.334129542335,0.143524925120,0.334129542335,-0.190602742215,-0.190604617215,43,61,55,0,6,0,0,0
1406,5000,50000,64,0.0,1.0,0.098370300978,0.406173489065,0.098367800978,0.406173489065,-0.307803188087,-0.307805688087,40,63,56,0,7,0,0,0
1407,5000,50000,64,0.0,1.0,0.059738707389,0.035723950897,0.059736519889,0.035723950897,0.024014756492,0.024012568992,46,60,60,0,0,0,0,0
1408,5000,50000,64,0.0,1.0,0.189651302736,0.196902450313,0.189648490236,0.196902450313,-0.007251147577,-0.007253960077,39,62,57,0,5,0,0,0
1409,5000,50000,64,0.0,1.0,0.067794368120,0.227415718243,0.067792336870,0.227415718243,-0.159621350123,-0.159623381373,43,60,56,0,4,0,0,0
1410,5000,50000,64,0.0,1.0,0.156962163110,0.309272552871,0.156959663110,0.309272552871,-0.152310389762,-0.152312889762,38,62,54,0,8,0,0,0
1411,5000,50000,64,0.0,1.0,0.116357234947,0.108426802021,0.116355047447,0.108426802021,0.007930432925,0.007928245425,45,63,59,0,4,0,0,0
1412,5000,50000,64,0.0,1.0,0.076449714243,0.375901862732,0.076447682993,0.375901862732,-0.299452148489,-0.299454179739,45,61,58,0,3,0,0,0
1413,5000,50000,64,0.0,1.0,0.061939901570,0.115038723726,0.061937245320,0.115038723726,-0.053098822156,-0.053101478406,42,62,59,0,3,0,0,0
1414,5000,50000,64,0.0,1.0,0.100463770005,0.398914373840,0.100461582505,0.398914373840,-0.298450603835,-0.298452791335,45,63,59,0,4,0,0,0
1415,5000,50000,64,0.0,1.0,0.255958158203,0.491158791555,0.255954876953,0.491158791555,-0.235200633352,-0.235203914602,32,61,53,0,8,0,0,0
1416,5000,50000,64,0.0,1.0,0.200006644715,0.147714744579,0.200004300965,0.147714744579,0.052291900136,0.052289556386,42,58,57,0,1,0,0,0
1417,5000,50000,64,0.0,1.0,0.207742383510,0.777628045530,0.207739414760,0.777628045530,-0.569885662020,-0.569888630770,34,60,53,0,7,0,0,0
1418,5000,50000,64,0.0,1.0,0.115269401884,0.150654331937,0.115266901884,0.150654331937,-0.035384930053,-0.035387430053,44,62,60,0,2,0,0,0
1419,5000,50000,64,0.0,1.0,0.077378191199,0.165182788298,0.077375691199,0.165182788298,-0.087804597100,-0.087807097100,42,61,58,0,3,0,0,0
1420,5000,50000,64,0.0,1.0,0.534531762949,0.021720998692,0.534527700449,0.021720998692,0.512810764256,0.512806701756,29,55,55,0,0,0,0,0
1421,5000,50000,64,0.0,1.0,0.057011120334,0.162958983905,0.057008932834,0.162958983905,-0.105947863571,-0.105950051071,44,62,58,0,4,0,0,0
1422,5000,50000,64,0.0,1.0,0.053648780143,0.081066237364,0.053646592643,0.081066237364,-0.027417457221,-0.027419644721,43,62,57,0,5,0,0,0
1423,5000,50000,64,0.0,1.0,0.194370881759,0.338227741294,0.194368538009,0.338227741294,-0.143856859535,-0.143859203285,39,60,54,0,6,0,0,0
1424,5000,50000,64,0.0,1.0,0.118282387850,0.529627024400,0.118280200350,0.529627024400,-0.411344636550,-0.411346824050,43,63,57,0,6,0,0,0
1425,5000,50000,64,0.0,1.0,0.129139961352,0.207805695167,0.129137617602,0.207805695167,-0.078665733815,-0.078668077565,41,62,56,0,6,0,0,0
1426,5000,50000,64,0.0,1.0,0.087146756458,0.474861454113,0.087144412708,0.474861454113,-0.387714697655,-0.387717041405,39,62,54,0,8,0,0,0
1427,5000,50000,64,0.0,1.0,0.147389112806,0.185367924949,0.147386925306,0.185367924949,-0.037978812143,-0.037980999643,43,62,57,0,5,0,0,0
1428,5000,50000,64,0.0,1.0,0.064377375182,0.186545792651,0.064375187682,0.186545792651,-0.122168417469,-0.122170604969,44,63,58,0,5,0,0,0
1429,5000,50000,64,0.0,1.0,0.080975032354,0.293640575163,0.080972219854,0.293640575163,-0.212665542809,-0.212668355309,40,62,58,0,4,0,0,0
